시나리오,ID,성별,번호,대사,파일명,emotion
J01,3003,M1,7,고맙다. 오천 원짜리 있냐?,J01_3003_M1_07,neutral
J01,3003,F1,7,내 책상에서 지갑 가져와.,J01_3003_F1_07,sadness
J01,3003,M1,8,오케이!,J01_3003_M1_08,neutral
J01,3003,F1,8,열어보면 죽는다!,J01_3003_F1_08,angry
J01,3004,M1,1,오랜만에 봤는데도 어떻게 다들 하나도 안 변했냐.,J01_3004_M1_01,sadness
J01,3004,F1,1,그러니까. 진경이가 애 엄마인게 믿겨지냐?,J01_3004_F1_01,neutral
J01,3004,M1,2,애가 애를 낳았지. 성호 안 온대?,J01_3004_M1_02,neutral
J01,3004,F1,2,성호?,J01_3004_F1_02,neutral
J01,3004,M1,3,"어, 진경이랑 사귀었던, 왜 하얗고 눈 커 가지고. 진경이랑 결혼한다고 큰 소리 치다가 차여가지고, 한동안 죽는다고 난리쳤잖아.",J01_3004_M1_03,angry
J01,3004,F1,3,"야, 성호 죽었잖아.",J01_3004_F1_03,neutral
J01,3004,M1,4,"아냐, 내가 살렸어. 소주로.",J01_3004_M1_04,sadness
J01,3004,F1,4,아니 농담 아니야. 진짜로.,J01_3004_F1_04,neutral
J01,3004,M1,5,뭐래. 장난 치지 마.,J01_3004_M1_05,disgust
J01,3004,F1,5,"너 진짜 몰라? 스무 살 때 여행 갔다가 차 사고나서 죽었어. 걔가 운전했었는데 뒤에 탔던 애들도 다 죽어서, 부모님 소송걸리고 난리였잖아.",J01_3004_F1_05,sadness
J01,3004,M1,6,진짜로?,J01_3004_M1_06,neutral
J01,3004,F1,6,너 몰랐구나…,J01_3004_F1_06,sadness
J01,3005,F1,1,어디 가던 길이었어 쫙 빼입고.,J01_3005_F1_01,neutral
J01,3005,M1,1,"아, 면접 갔다 왔어요.",J01_3005_M1_01,neutral
J01,3005,F1,2,취준 중이구나. 잘 봤어?,J01_3005_F1_02,neutral
J01,3005,M1,2,"뭐, 그럭저럭이요. 누나는 잘 지냈어요.",J01_3005_M1_02,sadness
J01,3005,F1,3,직장 생활이 다 그렇지 뭐. 맥주 사러 가던 길이었다.,J01_3005_F1_03,neutral
J01,3005,M1,3,"누나, 동아리 할 땐 술 한 잔도 못 마셨잖아요.",J01_3005_M1_03,neutral
J01,3005,F1,4,맞어. 나 한 잔만 마셔도 빨개졌었는데. 지금은 술고래 다 됐어.,J01_3005_F1_04,sadness
J01,3005,M1,4,취직하면 다 그렇게 되는 거에요? 언제 같이 한 잔 해요.,J01_3005_M1_04,neutral
J01,3005,F1,5,"그러고 보니, 동아리 MT 간다던데, 동창애가 번호 어떻게 알았는 지 나한테까지 연락이 왔어.",J01_3005_F1_05,angry
J01,3005,M1,5,"와, MT라니. 얼마만에 듣는거야.  누나 갈 거에요?",J01_3005_M1_05,neutral
J01,3005,F1,6,미쳤어. 나 가면 시조새급이야. 이번에 신입생이 99년 생인가?,J01_3005_F1_06,neutral
J01,3005,M1,6,2000년 생이요. 밀레니엄 베이비.,J01_3005_M1_06,sadness
J01,3005,F1,7,헐.,J01_3005_F1_07,neutral
J01,3006,M1,1,잘 지냈어?,J01_3006_M1_01,neutral
J01,3006,F1,1,그렇지 뭐. 너는?,J01_3006_F1_01,neutral
J01,3006,M1,2,나도.,J01_3006_M1_02,neutral
J01,3006,F1,2,졸업했어?,J01_3006_F1_02,neutral
J01,3006,M1,3,"아직, 너는?",J01_3006_M1_03,neutral
J01,3006,F1,3,난 했어. 대학원 준비 중이야.,J01_3006_F1_03,neutral
J01,3006,M1,4,그래.,J01_3006_M1_04,neutral
J01,3006,F1,4,저 분이 여자친구야?,J01_3006_F1_04,angry
J01,3006,M1,5,…어. 만난지 얼마 안 됐어.,J01_3006_M1_05,sadness
J01,3006,F1,5,그래. 예쁘시다.,J01_3006_F1_05,neutral
J01,3006,M1,6,어 착해. 너는… 누구 만나고 있어?,J01_3006_M1_06,neutral
J01,3006,F1,6,"아니, 헤어졌어. 친구들이 위로해 준다고 끌고 온 거야. 여기.",J01_3006_F1_06,sadness
J01,3006,M1,7,그래... 별 볼 일 없는 사람이었나 보네.,J01_3006_M1_07,neutral
J01,3006,F1,7,"아냐, 좋은 사람이야. 그냥, 결혼에 대해서 생각이 좀 달랐어.",J01_3006_F1_07,sadness
J01,3006,M1,8,그렇구나… 있잖아.,J01_3006_M1_08,neutral
J01,3006,F1,8,어.,J01_3006_F1_08,neutral
J01,3006,M1,9,우리 다시 만나볼래?,J01_3006_M1_09,sadness
J01,3006,F1,9,너 아직도 그 바람기 못 고쳤니? 여자친구 앞에 두고 그게 할 말이야?,J01_3006_F1_09,angry
J01,3006,M1,10,니가 헤어지라면 헤어질게. 그럼 다시 만날래?,J01_3006_M1_10,sadness
J01,3006,F1,10,"진짜 웃기고 있네… 야, 정신차려!",J01_3006_F1_10,angry
J01,3007,F1,1,"오빠, 밥은 잘 챙겨 먹어?",J01_3007_F1_01,neutral
J01,3007,M1,1,"뭐, 엄마가 반찬이랑 보내주잖아.",J01_3007_M1_01,neutral
J01,3007,F1,2,"그래, 굶고 있는 것 같진 않네. 그래도 잘 챙겨먹어. 그러다 건강 상한다.",J01_3007_F1_02,neutral
J01,3007,M1,2,고맙다.,J01_3007_M1_02,neutral
J01,3007,F1,3,어버이날은 집에 올 수 있어?,J01_3007_F1_03,neutral
J01,3007,M1,3,학원에서  시험보는 날이라 잘 모르겠어. 힘들지 않을까?,J01_3007_M1_03,sadness
J01,3007,F1,4,내가  선물은 사 놨어. 와서 얼굴만 비춰.,J01_3007_F1_04,sadness
J01,3007,M1,4,생각 해볼게.,J01_3007_M1_04,neutral
J01,3007,F1,5,이번은 어때? 좀 가능성 있어 보여?,J01_3007_F1_05,neutral
J01,3007,M1,5,야 오랜만에 만나서 결국 그 얘기냐.,J01_3007_M1_05,neutral
J01,3007,F1,6,"이번에도 떨어지면, 이제 포기하는 게 어때  오빠.",J01_3007_F1_06,sadness
J01,3007,M1,6,…이럴려고 불러냈냐?,J01_3007_M1_06,neutral
J01,3007,F1,7,오빠 벌써 서른 다 돼 가잖아. 언제까지 붙들고만 있을거야.,J01_3007_F1_07,neutral
J01,3007,M1,7,"아, 너까지 왜 이래?",J01_3007_M1_07,angry
J01,3007,F1,8,돈도 벌고 결혼도 해야지. 엄마 아빠 생각도 좀 해 봐.,J01_3007_F1_08,sadness
J01,3007,M1,8,돈 번다고 유세떠냐? 나는 맘 편히 놀고 있는 거 같애?,J01_3007_M1_08,angry
J01,3007,F1,9,그런 게 아니고.,J01_3007_F1_09,neutral
J01,3007,M1,9,드럽고 치사해서 같이 못 있겠다. 나 간다.,J01_3007_M1_09,disgust
J01,3008,M1,1,먹는 거 너무 귀엽다.,J01_3008_M1_01,happiness
J01,3008,F1,1,아 뭔 소리야.,J01_3008_F1_01,neutral
J01,3008,M1,2,그 뭔 소리야 좀 그만해. 뭘 맨날 뭔 소리야.,J01_3008_M1_02,angry
J01,3008,F1,2,아 뭔 소리야. 내가 언제 맨날 뭔 소리래.,J01_3008_F1_02,angry
J01,3008,M1,3,지금도 하잖아.,J01_3008_M1_03,neutral
J01,3008,F1,3,아 뭔 소린지 모르겠네.,J01_3008_F1_03,disgust
J01,3008,M1,4,"야, 그만해.",J01_3008_M1_04,sadness
J01,3008,F1,4,알았어.  발끈하니까 귀엽다.,J01_3008_F1_04,happiness
J01,3008,M1,5,아 뭔 소리야.,J01_3008_M1_05,neutral
J01,3008,F1,5,"뭐야, 하지마. 나보고 하지 말라매.",J01_3008_F1_05,neutral
J01,3008,M1,6,아 뭔 소리야.,J01_3008_M1_06,neutral
J01,3008,F1,6,진짜 짜증난다 이거.,J01_3008_F1_06,angry
J01,3008,M1,7,그치? 그럼 그만하고 항복해.,J01_3008_M1_07,neutral
J01,3008,F1,7,알았어. 그만할게 항복.,J01_3008_F1_07,neutral
J01,3009,M1,1,오늘은 케이크 안 드시네요?,J01_3009_M1_01,neutral
J01,3009,F1,1,"아, 속이 조금 안 좋아서.",J01_3009_F1_01,sadness
J01,3009,M1,2,차 한 잔 내려 드릴까요?,J01_3009_M1_02,neutral
J01,3009,F1,2,"아, 아니에요. 괜찮아요. 감사합니다.",J01_3009_F1_02,neutral
J01,3009,M1,3,뭐 하시는 지 물어봐도 돼요?,J01_3009_M1_03,neutral
J01,3009,F1,3,아 이거요. 일이 남아서 하는 중이에요.,J01_3009_F1_03,neutral
J01,3009,M1,4,"아, 직장인이시구나. 학생인 줄 알았어요. 무슨 회사 다니세요?",J01_3009_M1_04,angry
J01,3009,F1,4,조그만 디자인 회사 다녀요.,J01_3009_F1_04,neutral
J01,3009,M1,5,우와 그림 잘 그리시나봐요.,J01_3009_M1_05,neutral
J01,3009,F1,5,"아니요, 잘 그리는 건 아니고. 그냥.",J01_3009_F1_05,sadness
J01,3009,M1,6,"저도 한 장 그려주시면 안돼요? 케이크 서비스로 드릴게요. 아, 너무 저렴한가?",J01_3009_M1_06,neutral
J01,3009,F1,6,"아니요 좋아요. 나중에 주말같은 때 그려드릴게요. 아, 주말에 너무 바쁘시려나.",J01_3009_F1_06,neutral
J01,3009,M1,7,다음주 주말에 쉬어요. 밖에서 볼까요?,J01_3009_M1_07,sadness
J01,3009,F1,7,"어 그럼, 요 앞에 공원에서 할까요?",J01_3009_F1_07,neutral
J01,3009,M1,8,영화관은 어때요.,J01_3009_M1_08,neutral
J01,3009,F1,8,영화관이요?  좋아요.,J01_3009_F1_08,neutral
J01,3010,M1,1,아직 멀었어?,J01_3010_M1_01,neutral
J01,3010,F1,1,이제 거의 다했어.,J01_3010_F1_01,neutral
J01,3010,M1,2,얼마나 남았는데?,J01_3010_M1_02,neutral
J01,3010,F1,2,30분?,J01_3010_F1_02,neutral
J01,3010,M1,3,아직도?,J01_3010_M1_03,neutral
J01,3010,F1,3,"어, 잠깐만. 동영상 소리 조금만 줄여주면 안돼? 집중이 안돼.",J01_3010_F1_03,neutral
J01,3010,M1,4,난 핸드폰도 맘대로 못 보냐?,J01_3010_M1_04,angry
J01,3010,F1,4,미안해. 얼른 끝내야 나갈 거 아니야.,J01_3010_F1_04,neutral
J01,3010,M1,5,이미 런치타임 다 끝났어.,J01_3010_M1_05,neutral
J01,3010,F1,5,벌써?,J01_3010_F1_05,surprise
J01,3010,M1,6,세 시야. 이럴거면 여행 왜 왔냐. 카페나 가지.,J01_3010_M1_06,neutral
J01,3010,F1,6,미안하다고. 휴가라고 했는데도 계속 당장 보내달라잖아.,J01_3010_F1_06,angry
J01,3010,M1,7,못 보낸다고 하면 되잖아.,J01_3010_M1_07,neutral
J01,3010,F1,7,다음주에 당장 발주 넣어야 된다는 데 어떡해. 나도 짜증나.,J01_3010_F1_07,angry
J01,3010,M1,8,내가 더 짜증나.,J01_3010_M1_08,angry
J01,3010,F1,8,나도 엄청 서둘러서 하고 있다고! 조금만 참아 줘.,J01_3010_F1_08,angry
J01,3010,M1,9,빨리 해.,J01_3010_M1_09,neutral
J01,3011,M1,1,토론 면접은 저희 둘만 하나봐요?,J01_3011_M1_01,neutral
J01,3011,F1,1,그런가봐요. 잘 부탁드려요.,J01_3011_F1_01,neutral
J01,3011,M1,2,저도 잘 부탁드려요. 저는 그룹 토론은 해봤는데 일대일 토론은 처음이라서요.,J01_3011_M1_02,neutral
J01,3011,F1,2,그냥 자신있게 하시면 돼요.,J01_3011_F1_02,neutral
J01,3011,M1,3,"그런데, 혹시 속 안 좋으세요?",J01_3011_M1_03,neutral
J01,3011,F1,3,점심 먹은 게 조금 얹혔나봐요.,J01_3011_F1_03,neutral
J01,3011,M1,4,너무 긴장하지 마세요.,J01_3011_M1_04,neutral
J01,3011,F1,4,"아, 밥을 괜히 먹었어…",J01_3011_F1_04,sadness
J01,3011,M1,5,괜찮으세요? 얼굴이 너무 안 좋은데요?,J01_3011_M1_05,fear
J01,3011,F1,5,욱…,J01_3011_F1_05,sadness
J01,3011,M1,6,토할 것 같으세요???,J01_3011_M1_06,disgust
J01,3011,F1,6,참을 수 있어요. 이번에 목숨걸고 붙어야돼요.,J01_3011_F1_06,sadness
J01,3011,M1,7,차라리 화장실 다녀오세요.,J01_3011_M1_07,disgust
J01,3011,F1,7,면접관 바로 들어온대잖아요.,J01_3011_F1_07,neutral
J01,3011,M1,8,화장실 갔다고 하면 돼죠.,J01_3011_M1_08,neutral
J01,3011,F1,8,그걸 기다려주겠어요? 욱. 욱…,J01_3011_F1_08,sadness
J01,3011,M1,9,그럼 어떻게 해요. 여기 쓰레기통도 없는데.,J01_3011_M1_09,sadness
J01,3011,F1,9,욱. 욱…,J01_3011_F1_09,sadness
J01,3011,M1,10,"와, 미치겠네…",J01_3011_M1_10,neutral
J01,3011,F1,10,,J01_3011_F1_10,neutral
J01,3012,F1,1,엄마 재혼한대.,J01_3012_F1_01,sadness
J01,3012,M1,1,진짜? 그 부동산 아저씨랑?,J01_3012_M1_01,surprise
J01,3012,F1,2,어.,J01_3012_F1_02,neutral
J01,3012,M1,2,너는 어머니께 뭐라고 했어.,J01_3012_M1_02,neutral
J01,3012,F1,3,뭘 뭐라고 해. 나한테 묻는 것도 아니고 통보인데. “언제” 그랬지.,J01_3012_F1_03,sadness
J01,3012,M1,3,집은. 집은 어떻게 한대.,J01_3012_M1_03,sadness
J01,3012,F1,4,엄마가 그 아저씨네로 들어간대.,J01_3012_F1_04,sadness
J01,3012,M1,4,너는 어떻게 할거야?,J01_3012_M1_04,neutral
J01,3012,F1,5,나는 자취방 하나 구해봐야지. 이 나이 돼서 새아빠랑 살겠냐.,J01_3012_F1_05,neutral
J01,3012,M1,5,"그래. 그 사이에 끼여서 스트레스 받느니, 독립해라 이 기회에.",J01_3012_M1_05,sadness
J01,3012,F1,6,너무하지 않냐. 아빠랑 이혼한 지 얼마나 됐다고.,J01_3012_F1_06,sadness
J01,3012,M1,6,"어머니도 이제 50대이신데, 새 삶 시작하겠다는 거 말릴 수도 없고. 어떡하냐.",J01_3012_M1_06,sadness
J01,3012,F1,7,나 고아가 된 느낌이야.,J01_3012_F1_07,neutral
J01,3012,M1,7,내가 도울 일 있으면 말해.,J01_3012_M1_07,sadness
J01,3012,F1,8,말이라도 고맙다.,J01_3012_F1_08,neutral
J01,3013,F1,1,"생일 축하합니다~ 생일 축하합니다. 사랑하는 늙은이, 생일축하 합니다.",J01_3013_F1_01,neutral
J01,3013,M1,1,아!!!! 내 이십대!!!!! 좋은 날 다갔어!!!,J01_3013_M1_01,surprise
J01,3013,F1,2,야 넘친다!,J01_3013_F1_02,angry
J01,3013,M1,2,"아, 엄마가 생일 케이크 사왔는데 초가 너무 많더라…",J01_3013_M1_02,sadness
J01,3013,F1,3,조금만 기다려. 내년에 서른이니까 초 딱 세 개잖아!,J01_3013_F1_03,angry
J01,3013,M1,3,야! 너도 똑같잖아!,J01_3013_M1_03,angry
J01,3013,F1,4,나 너보다 세 달 어리잖아. 나 아직 만 스물 일곱이야.,J01_3013_F1_04,neutral
J01,3013,M1,4,세 달 뒤에 두고 보자.,J01_3013_M1_04,angry
J01,3013,F1,5,우리가 언제 이렇게 나이 먹었냐. 아아 스물 아홉이라니. 아홉수다.,J01_3013_F1_05,sadness
J01,3013,M1,5,아홉수라서 이렇게 일이 안 풀리나.,J01_3013_M1_05,sadness
J01,3013,F1,6,근데 다른 애들은 왜 다 잘 풀리냐.,J01_3013_F1_06,sadness
J01,3013,M1,6,어 그러네. 아홉수 때문이 아닌가.,J01_3013_M1_06,neutral
J01,3013,F1,7,됐어. 그냥 술이나 마셔!,J01_3013_F1_07,angry
J01,3014,F1,1,이 질문들 물어보면 돼?,J01_3014_F1_01,angry
J01,3014,M1,1,"어, 순서대로 말고,  섞어서 물어봐줘. 밑줄 친 것들 위주로.",J01_3014_M1_01,sadness
J01,3014,F1,2,알았어. 들어오는 것부터 해 봐. 저기가 문이라고 생각하고.,J01_3014_F1_02,neutral
J01,3014,M1,2,어. 됐어. 시작해.,J01_3014_M1_02,neutral
J01,3014,F1,3,들어오세요.,J01_3014_F1_03,neutral
J01,3014,M1,3,안녕하십니까!,J01_3014_M1_03,neutral
J01,3014,F1,4,자기 소개 한번 해볼까요?,J01_3014_F1_04,neutral
J01,3014,M1,4,네! 영업계의 최강창민이 될 이창민이라고 합니다. 반짝이는 건치와 밝은 미소로 고객들의 마음을 뒤흔들겠습니다!,J01_3014_M1_04,neutral
J01,3014,F1,5,"야, 고객분들이라고 해야지. 그래야 더 신경쓰는 거 같잖아.",J01_3014_F1_05,angry
J01,3014,M1,5,알았어. 고객분들의 마음을 뒤흔들겠습니다!,J01_3014_M1_05,neutral
J01,3014,F1,6,‘뒤흔들겠습니다’도 좀 그렇다. 뭔가 나이트 웨이터 같애.,J01_3014_F1_06,neutral
J01,3014,M1,6,아 그럼 뭐라 그래.,J01_3014_M1_06,neutral
J01,3014,F1,7,‘사로잡겠습니다’ 어때.,J01_3014_F1_07,neutral
J01,3014,M1,7,그게 더 웨이터같지 않냐?,J01_3014_M1_07,neutral
J01,3014,F1,8,"그런가... 야, 처음부터 다시 해 봐.",J01_3014_F1_08,sadness
J01,3014,M1,8,알았어.,J01_3014_M1_08,neutral
J01,3015,F1,1,이거 얼마야?,J01_3015_F1_01,neutral
J01,3015,M1,1,몰라?,J01_3015_M1_01,neutral
J01,3015,F1,2,가격도 안 봤어? 거스름돈 얼마 남았는데.,J01_3015_F1_02,neutral
J01,3015,M1,2,삼천 오백원.,J01_3015_M1_02,neutral
J01,3015,F1,3,이게 지금 천오백 원이야?,J01_3015_F1_03,neutral
J01,3015,M1,3,그런가봐.,J01_3015_M1_03,neutral
J01,3015,F1,4,와 너무하다. 양심도 없네.,J01_3015_F1_04,angry
J01,3015,M1,4,맛은 있네.,J01_3015_M1_04,neutral
J01,3015,F1,5,"아무리 그래도, 요만한 봉지에 반도 안 들었는데?",J01_3015_F1_05,neutral
J01,3015,M1,5,물가가 많이 올랐나...,J01_3015_M1_05,neutral
J01,3015,F1,6,이거 1+1 아니야?,J01_3015_F1_06,neutral
J01,3015,M1,6,아니던데.,J01_3015_M1_06,neutral
J01,3015,F1,7,와… 이제 손떨려서 과자도 못 사먹겠다.,J01_3015_F1_07,sadness
J01,3015,M1,7,몇 만원씩 하는 술값은 안 아깝고 과자값 천오백원은 아깝냐.,J01_3015_M1_07,sadness
J01,3015,F1,8,그거랑 그거랑 같냐! 술 맛도 모르는게…,J01_3015_F1_08,angry
J01,3015,M1,8,그래. 넌 술 맛 알아 좋~겠다.  그만 먹어. 이거 내가 산 거야.,J01_3015_M1_08,neutral
J01,3015,F1,9,"와, 치사하다.",J01_3015_F1_09,neutral
J01,3016,M1,1,오늘은~ 뭐 먹지~,J01_3016_M1_01,neutral
J01,3016,F1,1,그러게. 뭐 먹지.,J01_3016_F1_01,neutral
J01,3016,M1,2,치킨?!,J01_3016_M1_02,angry
J01,3016,F1,2,치킨? 또?,J01_3016_F1_02,angry
J01,3016,M1,3,아 왜~~,J01_3016_M1_03,neutral
J01,3016,F1,3,알았어 알았어. 그럼 치킨 먹자.,J01_3016_F1_03,neutral
J01,3016,M1,4,아니면..,J01_3016_M1_04,neutral
J01,3016,F1,4,아니면?,J01_3016_F1_04,neutral
J01,3016,M1,5,골뱅이 치킨?!,J01_3016_M1_05,angry
J01,3016,F1,5,아.. 그래그래. 난 다 좋아.,J01_3016_F1_05,neutral
J01,3016,M1,6,그럼 그냥 치킨!,J01_3016_M1_06,angry
J01,3016,F1,6,그래. 근데 오빠 아까 속 안 좋다고 하지 않았어? 괜찮겠어?,J01_3016_F1_06,neutral
J01,3016,M1,7,응. 먹고 약 먹으면 돼.,J01_3016_M1_07,neutral
J01,3016,F1,7,바보. 그냥 다른 거 먹을까?,J01_3016_F1_07,sadness
J01,3016,M1,8,싫어.  치킨 먹고 싶어!,J01_3016_M1_08,angry
J01,3016,F1,8,알았어 알았어. 대신 이따 배 더부룩하다고 울지 마.,J01_3016_F1_08,neutral
J01,3016,M1,9,알았어.,J01_3016_M1_09,neutral
J01,3017,M1,1,"아, 날씨가 이렇게 좋은데. 회사에서 일만 하고…",J01_3017_M1_01,sadness
J01,3017,F1,1,그러게요..  그래도 회사 앞이 이렇게 예뻐서 좋네요.,J01_3017_F1_01,neutral
J01,3017,M1,2,그래도 회사 앞은 회사 앞이죠. 뭔가 기분 나빠.,J01_3017_M1_02,angry
J01,3017,F1,2,그건 그렇죠..,J01_3017_F1_02,neutral
J01,3017,M1,3,오늘 거기 갈까요? 저번에 그 떡볶이집.,J01_3017_M1_03,neutral
J01,3017,F1,3,좋아요. 거기 괜찮았어요.,J01_3017_F1_03,neutral
J01,3017,M1,4,거기 괜찮죠. 좀 멀긴 한데..,J01_3017_M1_04,neutral
J01,3017,F1,4,산책하고 좋죠 뭐.,J01_3017_F1_04,neutral
J01,3017,M1,5,늦게 가면 또 팀장님 뭐라 하실까봐요.,J01_3017_M1_05,angry
J01,3017,F1,5,그래도 뭐. 빨리 먹으면 되지 않을까요?,J01_3017_F1_05,neutral
J01,3017,M1,6,네. 그럼 빨리 가요. @상황; 걷기 시작한다),J01_3017_M1_06,neutral
J01,3018,F1,1,저.. 하우스 와인 한 잔이요.,J01_3018_F1_01,neutral
J01,3018,M1,1,와인 좋지. 안주는?,J01_3018_M1_01,neutral
J01,3018,F1,2,아. 필요 없어요. 필요하면 말씀드릴게요.,J01_3018_F1_02,neutral
J01,3018,M1,2,이건 서-비스.,J01_3018_M1_02,neutral
J01,3018,F1,3,"아, 감사합니다.",J01_3018_F1_03,neutral
J01,3018,M1,3,자기는 무슨 과야?,J01_3018_M1_03,neutral
J01,3018,F1,4,저. 영화과인데..,J01_3018_F1_04,neutral
J01,3018,M1,4,그래? 그럼 무슨 영화 좋아해?,J01_3018_M1_04,neutral
J01,3018,F1,5,음. 저는..  ‘홍등’이라고.,J01_3018_F1_05,neutral
J01,3018,M1,5,그건 무슨 내용인데.,J01_3018_M1_05,neutral
J01,3018,F1,6,음. 그냥 엄청 아름답고 슬픈 영화예요.,J01_3018_F1_06,sadness
J01,3018,M1,6,그렇구나.,J01_3018_M1_06,neutral
J01,3018,F1,7,그런데 와인은 안 주세요?,J01_3018_F1_07,neutral
J01,3018,M1,7,성격 되게 급하구나? 기다려.,J01_3018_M1_07,neutral
J01,3018,F1,8,,J01_3018_F1_08,neutral
J01,3019,M1,1,이번에 속초 다녀왔거든.,J01_3019_M1_01,neutral
J01,3019,F1,1,아. 여자친구랑?,J01_3019_F1_01,neutral
J01,3019,M1,2,응. 이거 봐. 이 사진 엄청 웃기지.,J01_3019_M1_02,disgust
J01,3019,F1,2,응 진짜. 사진 좋다.,J01_3019_F1_02,neutral
J01,3019,M1,3,아니 이 사진이 웃긴 게. 아줌마들이 이렇게 무슨 약속한 것처럼 딱딱 서 있는데. 옷 색깔도 다 다르고.,J01_3019_M1_03,angry
J01,3019,F1,3,그러게. 웃기다.,J01_3019_F1_03,disgust
J01,3019,M1,4,아. 이거는. 속초에 무슨 섬이 있는데. 거기까지 배를 타고 가거든? 근데 그 배가 무동력이라서. 이렇게 줄을 가지고 타는 거야. 신기하지?,J01_3019_M1_04,sadness
J01,3019,F1,4,어. 신기하다.,J01_3019_F1_04,surprise
J01,3019,M1,5,너도 다음에 형이랑 속초 가 봐. 엄청 좋더라.,J01_3019_M1_05,neutral
J01,3019,F1,5,응..  언제 가지…,J01_3019_F1_05,sadness
J01,3019,M1,6,갈 수 있겠지.,J01_3019_M1_06,neutral
J01,3019,F1,6,응... 나도 여행 가고 싶다.,J01_3019_F1_06,neutral
J01,3019,M1,7,갈 수 있을거야.,J01_3019_M1_07,neutral
J01,3020,F1,1,어?,J01_3020_F1_01,neutral
J01,3020,M1,1,어?,J01_3020_M1_01,neutral
J01,3020,F1,2,야. 너가 여기 웬일이야.,J01_3020_F1_02,neutral
J01,3020,M1,2,와. 너는. 진짜 오랜만이다.,J01_3020_M1_02,neutral
J01,3020,F1,3,그러니까. 이렇게 다 보네. 몇 년 만이야 이게..,J01_3020_F1_03,neutral
J01,3020,M1,3,그러게.,J01_3020_M1_03,neutral
J01,3020,F1,4,한 3년? 됐나?,J01_3020_F1_04,neutral
J01,3020,M1,4,그런가. 요즘 뭐 하고 지내?,J01_3020_M1_04,neutral
J01,3020,F1,5,나야 뭐.. 학교 다니지. 너는?,J01_3020_F1_05,neutral
J01,3020,M1,5,"아, 나는. 이 근처에서 하는 전시에 영상 작업을 맡았거든.",J01_3020_M1_05,neutral
J01,3020,F1,6,헐. 무슨 전시야.,J01_3020_F1_06,neutral
