Column1,Column2,Column1_emo,Column2_emo
강아지 키우고 싶어,키울 수 있을 거예요.,sadness,sadness
강아지 키우고 싶은데 역시 안돼겠지,강아지 키우는 게 좋겠어요.,sadness,sadness
강아지 키울 수 있을까,키울 수 있을 거예요.,sadness,sadness
강아지 키울까,키울 수 있을 거예요.,sadness,sadness
강원도 가서 살까?,저도요.,neutral,neutral
같이 게임하자고 해도 되나?,같이 게임해보세요.,angry,angry
같이 놀러갈 친구가 없어,같이 놀러가고 싶은 친구는 없어요.,sadness,neutral
같이 먹었는데 나만 살찐 거 같아,같이 먹으면서 살<unk>가 됐나봐요.,neutral,sadness
같이 수영장 가기로 했어,좋은 생각이에요.,sadness,neutral
같이 있으면 힘든데 붙잡고 싶어,같이 있으면 힘들죠.,sadness,neutral
같이 피씨방 가자고 해볼까?,같이 피씨방 가자고 해보세요.,neutral,neutral
같이 할 수 있는 취미 생활 뭐 있을까,취미생활은 취미생활일 뿐이에요.,neutral,sadness
개강룩 입어볼까,멋져 보여요.,neutral,neutral
개강옷 예쁘게 입어 볼까,좋은 옷이네요.,neutral,neutral
개강이다,좋은 시작이네요.,neutral,neutral
개강이라니,좋은 시작이네요.,sadness,neutral
개같은 상황,저도 모르게 눈물이 나네요.,angry,sadness
개같이 되버렸어.,잘 되길 바랄게요.,angry,sadness
개기름 꼈어,맛있게 드세요.,disgust,neutral
개념도 놓고 옴,개념도 없는 사람이네요.,angry,angry
개념이 없어,개념 없는 사람이네요.,angry,angry
개당황,저도요.,angry,neutral
개당황했잖아 갑자기 물어 봐서,당황하셨겠어요.,angry,neutral
개인적인 업무까지 다 시켜,업무량이 많아도 상관없어요.,angry,neutral
개인적인 일도 다 시켜,잘하고 있어요.,angry,sadness
개졸려,잠이 안 올 거예요.,disgust,neutral
개좋아,저도 좋아해요.,disgust,neutral
개학하니까 좋다,좋은 소식이네요.,happiness,neutral
걔 너무 싫다,싫다고 말해보세요.,angry,angry
걔는 누굴 닮아서 그런거니?,저는 누굴 닮아서 그런거예요.,disgust,disgust
걔랑 같은 반 됐으면 좋겠다,같이 놀아요.,sadness,neutral
거지 같이 일해 놓고 갔어,잘했어요.,angry,neutral
거지됐어,나쁜 사람 만나지 마세요.,sadness,angry
거짓말 했어,용서하세요.,sadness,sadness
거짓말을 나도 모르게 자꾸 해,거짓말은 자신을 더 힘들게 만들 뿐이에요.,angry,sadness
거짓말을 하게 돼,거짓말은 자신을 더 힘들게 만들 뿐이에요.,angry,sadness
거짓말이 거짓말을 낳아,거짓말은 자신을 더 힘들게 만들 뿐이에요.,angry,sadness
걱정 없이 살고파,걱정하지 마세요.,sadness,neutral
걱정 좀 없이 살고 싶다.,걱정하지 마세요.,sadness,neutral
건강 관리,건강은 항상 챙겨야죠.,neutral,sadness
건강 빨리 회복해야지,건강은 항상 최고죠.,neutral,neutral
건강검진 왔어,건강은 항상 최고죠.,fear,neutral
건강검진하러 옴,건강은 기본이죠.,disgust,neutral
건강이 최고,건강은 항상 최고죠.,neutral,neutral
건강이 최고인 것 같아,건강은 항상 최고죠.,sadness,neutral
건강하게 다이어트 하는 방법,식이요법과 운동요법이 병행되죠.,neutral,neutral
건강한 다이어트법,식이요법과 운동요법이 병행되죠.,neutral,neutral
건너건너 아는 사람인데 연락해도 될까?,연락해보세요.,angry,neutral
건물주 되고싶어,건물주가 되고 싶은 마음이 굴뚝같네요.,neutral,sadness
건물주가 짱인데,건물주가 건물주에게 건물관리비를 물어보세요.,neutral,neutral
건방져,건방진 사람이네요.,neutral,neutral
건조기 살까봐,건조기 살 때 챙겨보세요.,sadness,neutral
건조하네,건조하다고 건조해지지 않아요.,neutral,neutral
걸레질도 해야 돼,깨끗하게 해주세요.,sadness,neutral
걸어 가고 있는데 깜깜해서 무서워,조심하세요.,fear,neutral
겁난다,겁내지 마세요.,fear,neutral
게으른 동료가 있어,게으른 동료가 있어 힘들죠.,neutral,sadness
게임 같이 하자고 할까?,같이 하자고 말해보세요.,neutral,neutral
게임 때문에 시간 다갔어,게임 그만 하세요.,angry,angry
게임 때문에 폰이 점점 느려지는듯,게임도 점점 느려지죠.,angry,angry
게임 재미있어.,게임 재미있어요.,neutral,neutral
게임 지겨워,게임도 재미있어요.,angry,neutral
게임도 이제 재미없어,게임도 이제 재미없어요.,angry,angry
게임하고 싶어,게임도 하고 싶고 게임도 하고 싶고 게임도 하고 싶고 게임도 하고 싶고 게임,angry,angry
게임하다 시간 다갔어,게임도 재미있어요.,angry,neutral
겨울 지나 봄이야,봄이 오는가봐요.,sadness,neutral
겨울에는 온천이지!,온천은 건강에 좋아요.,neutral,neutral
겨울이 가고 봄이 올거야,봄이 올 거예요.,sadness,neutral
격려 좀 해줘,잘할 수 있을 거예요.,neutral,neutral
격려가 필요해.,응원해주세요.,neutral,neutral
견과류 챙겨 먹어야지.,맛있게 드세요.,neutral,neutral
결국 이런 운명이라니 슬프다,운명이라면 운명일 거예요.,sadness,neutral
결정 못하겠어.,결정하기 전에 잘할 수 있을 거예요.,neutral,neutral
결정은 빠르면 빠를 수록 좋겠지?,빠르면 빠를수록 좋죠.,neutral,neutral
결정은 빠를수록 좋겠지?,결정하기 전에 먼저 마음을 정리하는게 좋겠어요.,neutral,neutral
결정을 못 내리겠어. 어떻해,결정을 내리지 못했나봐요.,sadness,sadness
결정적인 물증이 없어,확실한 증거를 찾아보세요.,sadness,neutral
결혼 했는데.,결혼 축하드려요.,sadness,neutral
결혼 했어,축하드려요.,sadness,neutral
결혼도 다 돈이다.,돈 많이 버는 건 상관 없어요.,neutral,sadness
결혼식 가기 귀찮아,결혼식 가기 전에 미리 준비하세요.,sadness,sadness
결혼식 또 가야돼,신혼여행은 신혼여행이 좋죠.,sadness,neutral
결혼식때 하객이 없을 까봐 걱정돼,결혼식 때 하객이 있을 거예요.,sadness,neutral
결혼식이 너무 많아,결혼식이 더 많아요.,sadness,sadness
결혼이나 하지 왜 자꾸 나한테 화 내냐구!,결혼은 타이밍이 중요해요.,angry,neutral
결혼준비 돈 많이 들겠지,결혼 준비는 생각보다 쉽지 않죠.,sadness,sadness
결혼준비하는데 돈 얼마나 드나,결혼 준비는 생각보다 쉽지 않죠.,sadness,sadness
결혼하는데 돈 많이 드네,결혼 준비는 생각보다 쉽지 않죠.,sadness,sadness
결혼하는데 돈 얼마나 들까,결혼 준비는 생각보다 쉽지 않죠.,sadness,sadness
결혼하면 좋아?,결혼은 항상 좋죠.,neutral,neutral
결혼하면 좋을까,결혼은 항상 좋죠.,neutral,neutral
결혼하면 행복할까?,행복할 거예요.,neutral,neutral
결혼하면 행복해?,행복은 항상 함께하기 마련이죠.,neutral,neutral
결혼하면 행복해질까?,행복할 거예요.,sadness,neutral
결혼할까,좋은 선택일 거예요.,neutral,neutral
결혼해도 되나,결혼은 항상 좋은 것 같아요.,sadness,neutral
결혼해도 될까,결혼은 항상 좋은 것 같아요.,fear,neutral
결혼해야 하나,결혼은 혼자 하는 게 아니에요.,sadness,sadness
경쟁이 너무 치열해,경쟁의 끝은 항상 있죠.,sadness,neutral
계속 공부해도 될까,공부하면 더 잘할 수 있을 거예요.,sadness,sadness
계속 도전하는 거 귀찮아,도전은 항상 재미있어요.,angry,neutral
계속 방학이면 좋을텐데,방학이 참 짧죠.,sadness,sadness
계속 보고 싶어,보고싶어도 못 볼 수도 있어요.,angry,sadness
계속 보고 싶으면 어떡해?,보고싶어도 못 볼 수도 있어요.,angry,sadness
계속 속이 진짜 안 좋아,약을 드세요.,disgust,neutral
계속 엇갈리는 느낌,서로 다른 느낌일 수도 있어요.,fear,neutral
계속 학생하고 싶어,저도 하고 싶어요.,angry,sadness
계속 한숨만 나와,저도 모르게 눈물이 나네요.,angry,sadness
고3은 공부만 해야겠지.,공부하면 돼요.,neutral,neutral
고3이니까 공부해야겠지,공부하면 더 잘할 수 있을 거예요.,neutral,sadness
고구마 다이어트 해야지,맛있게 드세요.,neutral,neutral
고구마만 먹고 다이어트 해야지,맛있게 드세요.,neutral,neutral
고기 구워 먹고 싶다.,맛있게 드세요.,neutral,neutral
고기 먹고 싶어,맛있게 드세요.,neutral,neutral
고데기 망했어,고데기 망한 걸 수도 있어요.,sadness,sadness
고데기 했는데 망했어,망한 거 아니에요.,sadness,sadness
고독한 밤,저도 힘들어요.,neutral,sadness
고마운 사람들이 많아,고마운 사람들만 모아보세요.,neutral,neutral
고무신 거꾸로 신으면 어쩌지,고무신 거꾸로 신는 건 어떨까요.,sadness,sadness
고민 있어,고민 있으면 말해보세요.,neutral,neutral
고민 좀 들어줄래,고민 들어줄래요.,neutral,neutral
고백하고 후회하면 어떡하지,후회하지 않는 게 좋죠.,sadness,neutral
고시원 너무 답답해,고시원 방이 좁죠.,angry,neutral
고시원 답답해,고시원 방이 편해요.,angry,neutral
고시원에서 나가고 싶어,고시원에서 살면 더 좋죠.,sadness,neutral
고시원에서 탈출하고 싶어,좋은 생각이에요.,sadness,neutral
고양이 동영상 보는 중,저도 보고 싶어요.,neutral,sadness
고양이 키우고 싶어,키울 수 있을 거예요.,angry,sadness
고양이 키우고 싶어,키울 수 있을 거예요.,angry,sadness
고의는 아닌데 실수를 한 거 같아,고의는 아니에요.,sadness,neutral
고집 센 사람,고집 센 사람한테는 절대 안됩니다.,angry,angry
고집하고는,고집은 자신을 힘들게 해요.,sadness,sadness
골프 못 치는데,연습해보세요.,sadness,neutral
골프 배워야 돼,좋은 생각이에요.,neutral,neutral
골프 어려워,연습해보세요.,sadness,neutral
골프치러 가야돼,좋은 생각이에요.,sadness,neutral
곱창 먹고 싶어.,맛있게 드세요.,neutral,neutral
곱창 생각나,곱창 맛있겠네요.,sadness,neutral
공무원 괜찮겠지,공무원도 괜찮아요.,neutral,neutral
공무원 되고 싶다,공무원 되고 싶어요.,sadness,sadness
공무원 되면 좋겠다,공무원 되고 싶어요.,neutral,sadness
공무원 시험 공부 힘들다,공무원 시험 준비는 항상 힘들죠.,sadness,sadness
공무원 시험 죽을 거 같아,공무원 시험 준비는 항상 힘들죠.,sadness,sadness
공무원 시험 힘들어,공무원 시험 준비는 항상 힘들죠.,sadness,sadness
공무원 준비할까,공무원 준비는 항상 힘들죠.,neutral,sadness
공무원이 좋지?,공무원도 좋죠.,neutral,neutral
공복이라 신경이 예민해져,공복에 신경쓰지 마세요.,angry,neutral
공복이라 예민해,공복에 더 신경써주세요.,angry,neutral
공복이면 예민함?,공복일 때 예민한가봐요.,neutral,neutral
공부 계속해도 될까,공부하면 돼요.,sadness,neutral
공부 꼭 해야 할까,공부하면 더 잘할 수 있어요.,sadness,sadness
공부 때려치워야 하나,공부하면 돼요.,angry,neutral
공부 시작해도 될까,공부하면 더 잘할 수 있을 거예요.,neutral,sadness
공부 왜 해야 돼?,공부하면 돼요.,neutral,neutral
공부 잘 안돼,공부하면 돼요.,sadness,neutral
공부 잘하고 싶어,공부하면 더 잘할 수 있을 거예요.,sadness,sadness
공부 좀 더 할 걸,공부하면 더 잘할 수 있을 거예요.,sadness,sadness
공부 하기 싫다,공부 안해도 돼요.,sadness,sadness
공부는 내 체질이 아닌 것 같아,공부는 내 체질이에요.,sadness,sadness
공부로 먹고 살 수 있을까,공부하면 더 잘할 수 있을 거예요.,neutral,sadness
공부방법이 잘못된걸까?,공부방법이 틀린 건 아닐 거예요.,sadness,neutral
공부하기 싫어,공부하면 더 잘할 수 있을 거예요.,sadness,sadness
공부하기 싫은 날,공부하면 더 잘할 수 있을 거예요.,sadness,sadness
공부하는 낙이 없어,공부하면 더 잘할 수 있어요.,sadness,sadness
공부하는 이유?,공부하면 더 잘할 수 있을 거예요.,neutral,sadness
공부하는 이유가 없어,공부하면 더 잘할 수 있어요.,sadness,sadness
공시 준비 힘들어,공부해서 잘할 수 있을 거예요.,sadness,sadness
공시 준비 힘들어,공부해서 잘할 수 있을 거예요.,sadness,sadness
공시 준비중,좋은 소식이네요.,sadness,neutral
공시 준비하는데 힘들다,공부는 잘하고 있나봐요.,sadness,sadness
공시생이야,공부 열심히 하세요.,neutral,neutral
공연 보고 싶어,저도 보고 싶어요.,neutral,sadness
공연 보러 가고 싶어,좋은 공연 보여드릴게요.,neutral,neutral
공책 필기 나만 힘들어?,공책 필기 하면 돼요.,sadness,neutral
공황장애 생겼어.,공황장애가 심했나봐요.,neutral,sadness
공황장애 있어,공황장애가 심했나봐요.,neutral,sadness
공휴일에는 집이 최고,주말이 더 힘들죠.,neutral,sadness
공휴일에는 집콕,쉬는 날이 많아요.,fear,sadness
과거는 잊고 앞으로 나아 가야지,지금은 현재에 충실할 때예요.,neutral,neutral
과거는 중요하지 않아,지금은 중요하지 않아요.,neutral,neutral
과식해서 소화가 안돼,과식하지 마세요.,angry,neutral
과식했나 봐,과식하지 마세요.,neutral,neutral
과식했다,과식하지 마세요.,neutral,neutral
과외비 부담되겠지?,부담되진 않을 거예요.,sadness,sadness
과외비 비싸?,과외비는 비싸요.,neutral,sadness
과일 먹고 자야지,맛있게 드세요.,neutral,neutral
과일 먹어야지.,맛있게 드세요.,neutral,neutral
과일 안 먹게 돼,맛있게 드세요.,sadness,neutral
과일 잘 안 먹게 돼,과일은 잘 먹고 잘 자고 잘 자고 잘 자고 잘 자고 잘 자고 잘 자고 잘 자고 잘 자고 잘,sadness,sadness
과일 챙겨 먹어야지,맛있게 드세요.,neutral,neutral
관계가 계속 애매하다.,관계를 정리해야 할 때가 올 거예요.,angry,neutral
관심 끄라고 하고 싶다.,관심에서 멀어진다고 해서 달라지는 건 없어요.,sadness,sadness
관심 좀 안 가졌으면,관심 가지지 마세요.,sadness,neutral
관절염 같애,운동해보세요.,neutral,neutral
관절염인가,운동해보세요.,neutral,neutral
광고가 안 끝나,광고 안 볼 수 있으면 보세요.,sadness,neutral
괜찮아지고 있어,괜찮아질 거예요.,neutral,neutral
괜찮은 사람인데 사귀긴 싫어,좋은 사람 만나길 바랄게요.,sadness,neutral
괜히 건들지 말라고,건드리지 마세요.,sadness,neutral
괜히 기다렸어,기다리지 마세요.,sadness,neutral
괜히 농담해서 망했다,농담으로 망한 건 아닌지 확인해보세요.,sadness,neutral
괜히 아까운 시간 버렸다,좋은 시간 보내세요.,sadness,neutral
괜히 창피해,그럴 때가 있죠.,sadness,neutral
괴물이 되어 가는 느낌이 들어,괴물이 되어 가는 기분이 들 거예요.,sadness,sadness
교보문고 왔어,좋은 시간 보내세요.,neutral,neutral
교양 수업 재밌어,저도 듣고 싶어요.,neutral,angry
교양수업 시간에 마음에 드는 애 있어,제가 들어드릴게요.,sadness,neutral
교양수업 은근 재미져,저도 듣고 싶어요.,neutral,angry
교양수업에서 마음에 드는 애 있어,좋은 사람 만날 거예요.,neutral,neutral
교양수업이 재미있어,저도 듣고 싶어요.,neutral,angry
교양이 전공보다 재미있어,공부하면 더 재미있어요.,neutral,neutral
교직이수 가능할까,학점 관리도 필요하겠네요.,neutral,neutral
교통사고 났었어.,병원에 가보세요.,neutral,sadness
교통사고 당했어,보험처리 하세요.,neutral,neutral
교회 가기 싫어,교회 가기 싫어요.,sadness,neutral
교회 갔다 만났어,좋은 시간 보냈길 바랍니다.,neutral,neutral
교회에서 만났어,좋은 시간 보냈길 바랍니다.,neutral,neutral
구박하면서 엄청 일 시켜,일 시켜보세요.,angry,neutral
군대 갔다 올 때까지 기다릴 수 있을까,기다릴 수 있을 거예요.,neutral,neutral
군대 기다려 주려고,군대 가기 전 좋은 추억이 될 거예요.,angry,neutral
군대 기다려도 될까,군대 가기 전으로 돌아가서 더 좋은 사람 만날 수 있을 거예요.,angry,neutral
군대 기다리면 부담스러워할까,군대 가기 전 부담스럽지 않은 선에서 부담스럽지 않은 선에서 해보세요.,sadness,sadness
군대 기다릴 수 있을까,군대 가기 전으로 돌아가서 더 좋은 사람 만날 수 있을 거예요.,neutral,neutral
군대 언제 끝나나,군대 가기 전이 좋죠.,neutral,neutral
군대 전역 기다려,군대 가기 전 좋은 추억이 될 거예요.,neutral,neutral
굿모닝,좋은 아침이에요.,sadness,neutral
궁금하면 오백원,궁금하면 연락해보세요.,neutral,neutral
궁금하지?,궁금하면 연락해보세요.,neutral,neutral
궁금해,궁금하면 연락해보세요.,neutral,neutral
궁금해 알려줘,궁금하면 연락해보세요.,neutral,neutral
귀 아파,약 먹고 쉬세요.,sadness,sadness
귀가 가려워,감기 조심하세요.,sadness,neutral
귀가 간지러,감기 조심하세요.,angry,neutral
귀가 윙윙거려,감기 조심하세요.,fear,neutral
귀농 어때?,귀농은 혼자 사는 게 아니에요.,neutral,neutral
그 사람이 나 안 좋아하는 거 같아,그 사람이 나 안 좋아하는 걸 수도 있어요.,sadness,sadness
그 사람이 나 좋아해줬으면 좋겠다,그 사람이 좋아할 거예요.,sadness,neutral
그 사람이 행복했으면 좋겠다,행복은 마음에서 우러나오는 거예요.,sadness,neutral
그 시절엔 다 그랬지,지금은 다 그래요.,neutral,neutral
그냥 고백할걸,솔직하게 고백해보세요.,sadness,neutral
그냥 공무원이 좋을 듯,공무원도 잘할 수 있어요.,neutral,sadness
그냥 내버려 둬 주었으면,잘할 수 있을 거예요.,sadness,neutral
그냥 선 볼까?,선은 볼 수 있어요.,neutral,neutral
그냥 쉬고 싶다,쉬면서 생각해도 좋을 것 같아요.,sadness,neutral
그냥 씹어야겠다.,씹는 게 좋겠어요.,sadness,angry
그냥 이렇게 살고 싶어,잘 살 수 있을 거예요.,sadness,neutral
그냥 자는 거 아니지?,잠이 안 올 거예요.,neutral,neutral
그냥 잘못했다고 하면 될거 같은데 자꾸 변명해,변명이란 항상 자신을 힘들게 해요.,angry,sadness
그냥 택시 타야지.,대중교통을 이용해보세요.,neutral,neutral
그냥 할까?,하고 싶은 대로 하세요.,neutral,neutral
그냥 혼자 밥이나 먹어야지,혼자 사는 게 힘들죠.,sadness,sadness
그냥 혼자 있는게 좋아,혼자 있는 시간이 길어요.,sadness,neutral
그동안 잘 지냈나요?,잘 지내고 있어요.,sadness,neutral
그땐 그랬지,지금은 그럴 때가 아니에요.,neutral,neutral
그래 그러자,잘할 수 있을 거예요.,neutral,neutral
그래 이제 결정했어,잘 될 거예요.,neutral,neutral
그래도 좀 기대했는데,기대하지 마세요.,sadness,neutral
그런 말을 왜 하지,그런 말을 하는 게 더 힘들었을 거예요.,angry,sadness
그런 사람인가보다 해야하나봐,잘할 수 있을 거예요.,sadness,neutral
그런 사람인갑다 해야지,사람마다 다르겠지만 사람마다 다르겠죠.,neutral,neutral
그런 친구 아니었는데 너무 귀찮게 하네,친구는 귀찮게 하는 게 아니에요.,angry,neutral
그렇게 갈 거면서,후회하지 않을 자신이 있다면 연락해보세요.,neutral,neutral
그렇게 오래 살았는데도 이해를 못하겠어,이해는 해야죠.,sadness,neutral
그렇게 할래,잘할 수 있을 거예요.,neutral,neutral
그림 잘 그리고 싶다,그림 잘 그리고 싶어요.,sadness,sadness
그림 좀 잘 그렸으면 좋겠다,잘 그리세요.,sadness,neutral
그만 두고 나오고 싶어,후회하지 않을 자신이 있다면 연락해보세요.,angry,neutral
그만 먹어야 하는데,맛있게 드세요.,sadness,neutral
그만 살고싶어,잘 살 수 있을 거예요.,sadness,neutral
그저 그런 하루,하루 종일 아무 생각 없이 지냈나봐요.,neutral,sadness
근사한 곳 알아 냈어,좋은 곳인지 확인해보세요.,sadness,neutral
근육 있으면 멋있을텐데,근육은 항상 좋죠.,neutral,neutral
금값 알아?,알아도 모르겠어요.,neutral,neutral
금값 어때,금값도 오를 거예요.,neutral,neutral
금사빠인가,금사빠는 아닐 거예요.,sadness,neutral
금수저 물고 태어나면 좋겠지?,금수저 물고 태어나면 좋겠네요.,neutral,neutral
금수저로 태어났으면,금수저로 살 수 있을 거예요.,sadness,neutral
금수저로 태어났으면 좋았을텐데,금수저로 태어나면 좋았겠어요.,sadness,sadness
금연이 쉽지 않아,금연에 성공하세요.,neutral,neutral
기 빨렸어,잘했어요.,angry,neutral
기념일 다 챙기는거 귀찮아,축하해요.,angry,neutral
기념일 또 까먹었어,축하해요.,angry,neutral
기념일 못챙겼어,축하해요.,angry,neutral
기념일 챙기기 귀찮아,기념일 챙기세요.,angry,neutral
기능 좀 알려줘봐봐,제가 가르쳐드릴게요.,neutral,neutral
기다리는 것도 지쳐,기다리는 것도 지쳐요.,angry,angry
기다리라고 말 못하겠어,기다리라고 말하세요.,angry,angry
기다림이 습관이 됐나봐,기다림은 습관이에요.,sadness,neutral
기대가 무너졌어,실망하지 마세요.,sadness,sadness
기대가 부담스러운데 떨쳐낼 수 있는 방법 있을까?,잘할 수 있을 거예요.,sadness,neutral
기대하고 있었는데,좋은 결과 있을 거예요.,sadness,neutral
기대하지 말걸,기대하지 마세요.,neutral,neutral
기대했는데,기대하지 마세요.,sadness,neutral
기댈 수 있는 사람,기댈 수 있는 사람이 있길 바랍니다.,angry,neutral
기력이 없어,운동해보세요.,sadness,neutral
기름값 올랐어.,기름값 걱정되겠어요.,neutral,neutral
기본이 뭔지도 모르는 것 같아.,기본을 알면 더 잘할 수 있을 거예요.,sadness,neutral
기본이 안 되어 있어,기본을 지켜보세요.,sadness,neutral
기부 좀 했어요,좋은 생각이에요.,sadness,neutral
기부했어,좋은 생각이에요.,sadness,neutral
기분 꿀꿀해,기분전환을 해보세요.,sadness,sadness
기분 나쁜 농담을 계속하고 있어,농담이 아니길 바라요.,sadness,neutral
기분 울적해서 좀 걷고 있어,기분전환을 해보세요.,sadness,sadness
기분 전환 하고 싶어,기분전환을 해보세요.,sadness,sadness
기분 전환이 필요해,기분전환을 해보세요.,sadness,sadness
기분이 그지 같아,기분전환을 해보세요.,angry,sadness
기분이 더러워,그럴 때가 있죠.,disgust,neutral
기분이 묘해,그럴 때가 있죠.,sadness,neutral
기분이 이상해,그럴 때가 있죠.,angry,neutral
기숙사 괜찮을까,좋은 곳인가봐요.,neutral,sadness
기숙사 떨어졌어,기숙사 생활은 힘들죠.,sadness,sadness
기숙사 사는거 어떨까?,같이 살면 좋죠.,neutral,neutral
기숙사 살면 불편해?,기숙사 생활은 불편하지 않아요.,neutral,sadness
기숙사 안됐어,기숙사 생활은 힘들죠.,sadness,sadness
기술 배울까,기술 공부 해보세요.,neutral,neutral
기차 타고 여행 가고 싶어,기차여행은 항상 좋죠.,neutral,neutral
기차여행 가고 싶어,기차여행은 항상 좋죠.,neutral,neutral
기침도 못하겠어,기침약 챙겨 드세요.,sadness,neutral
기침도 편하게 못해,기침약 챙겨 드세요.,sadness,neutral
기프트콘 받았어!,기분 좋겠어요.,neutral,angry
기프트콘 선물 괜찮을까?,직접 사오는 게 좋겠죠.,neutral,neutral
기프트콘 선물해볼까?,직접 사오는 게 좋겠죠.,neutral,neutral
기프트콘 주면 좋아할까?,직접 주는 게 좋겠죠.,sadness,neutral
기프트콘으로 선물 받았어,고마워요.,sadness,neutral
기프트콘으로 선물 해야겠다,좋은 선물이 될 거예요.,neutral,neutral
기회를 놓쳤어,기회를 다시 잡으세요.,sadness,neutral
기회를 못 잡았어,기회를 다시 잡으세요.,sadness,neutral
기획사니까 당연히 예쁜 애들 많겠지,좋은 애들 많죠.,neutral,neutral
기획사에 예쁜 애들 많겠지,좋은 애들 많겠네요.,neutral,neutral
긴 머리 관리 어렵다.,머리숱이 많으면 좋죠.,neutral,neutral
긴 머리 관리하는 거 힘들다,머리 감는 게 좋죠.,sadness,neutral
긴 시간이 걸렸지만 괜찮아.,괜찮아질 거예요.,sadness,neutral
긴장 푸는 법 알려줘,긴장 푸는 법을 알려주세요.,neutral,angry
긴장돼,긴장되겠네요.,neutral,neutral
긴장돼서 땀나네,조금만 더 버텨보세요.,sadness,sadness
길거리에서 연락처 물어보면 줘도 되나,연락처를 물어보는게 좋겠어요.,sadness,neutral
길에서 담배 피우는 사람 싫어,담배 피지 마세요.,sadness,sadness
